Symbol,DividendShares
1301,Done
1332,Done
1333,Done
1375,Done
1376,Done
1377,Done
1379,Done
1380,Done
1381,Done
1382,Done
1383,Done
1384,Done
1400,Done
1401,Done
1407,Done
1414,Done
1417,Done
1418,Done
1419,Done
1420,Done
1429,Done
1430,Done
1431,Done
1433,Done
1434,Done
1435,Done
1436,Done
1438,Done
1439,Done
1443,Done
1444,Done
1446,Done
1447,Done
1450,Done
1451,Done
1491,Done
1514,Done
1515,Done
1518,Done
1605,Done
1662,Done
1663,Done
1711,Done
1712,Done
1716,Done
1717,Done
1718,Done
1719,Done
1720,Done
1721,Done
1723,Done
1724,Done
1726,Done
1730,Done
1736,Done
1739,Done
1743,Done
1757,Done
1758,Done
1762,Done
1764,Done
1766,Done
1768,Done
1770,Done
1773,False
1775,Done
1776,Done
1780,Done
1783,Done
1786,Done
1787,Done
1788,Done
1789,Done
1793,Done
1795,Done
1798,Done
1799,Done
1801,Done
1802,Done
1803,Done
1805,Done
1807,Done
1808,Done
1810,Done
1811,Done
1812,Done
1813,Done
1814,Done
1815,Done
1820,Done
1821,Done
1822,Done
1826,Done
1827,Done
1828,Done
1833,Done
1835,Done
1840,Done
1841,Done
1844,Done
1847,Done
1848,Done
1850,Done
1852,Done
1853,Done
1860,Done
1861,Done
1866,Done
1867,Done
1870,Done
1871,Done
1873,Done
1878,Done
1879,Done
1882,Done
1884,Done
1885,Done
1887,Done
1888,Done
1890,Done
1893,Done
1897,Done
1898,Done
1899,Done
1904,Done
1905,Done
1909,Done
1911,Done
1914,Done
1921,Done
1925,Done
1926,Done
1928,Done
1929,Done
1930,Done
1934,Done
1938,Done
1939,Done
1941,Done
1942,Done
1944,Done
1945,Done
1946,Done
1948,Done
1949,Done
1950,Done
1951,Done
1952,Done
1954,Done
1959,Done
1960,Done
1961,Done
1963,Done
1964,Done
1965,Done
1966,Done
1967,Done
1968,Done
1969,Done
1971,Done
1972,Done
1973,Done
1975,Done
1976,Done
1979,Done
1980,Done
1981,Done
1982,Done
1992,Done
1994,Done
1997,Done
2001,Done
2002,Done
2003,Done
2004,Done
2009,Done
2053,Done
2055,Done
2060,Done
2107,Done
2108,Done
2109,Done
2112,Done
2114,Done
2117,Done
2120,Done
2121,Done
2122,Done
2124,Done
2127,Done
2130,Done
2134,Done
2136,Done
2138,Done
2139,Done
2146,Done
2148,Done
2150,Done
2152,Done
2153,Done
2154,Done
2156,Done
2157,Done
2158,Done
2160,Done
2162,Done
2163,Done
2164,Done
2168,Done
2169,Done
2170,Done
2173,Done
2175,Done
2179,Done
2180,Done
2181,Done
2183,Done
2185,Done
2186,Done
2193,Done
2195,Done
2196,Done
2198,Done
2201,Done
2204,Done
2206,Done
2207,Done
2208,Done
2209,Done
2211,Done
2212,Done
2215,Done
2216,Done
2217,Done
2220,Done
2221,Done
2222,Done
2224,Done
2226,Done
2229,Done
2264,Done
2266,Done
2267,Done
2268,Done
2269,Done
2270,Done
2281,Done
2282,Done
2286,Done
2288,Done
2291,Done
2292,Done
2293,Done
2294,Done
2296,Done
2300,Done
2301,Done
2303,Done
2304,Done
2305,Done
2307,Done
2309,Done
2311,Done
2315,Done
2317,Done
2321,Done
2323,Done
2325,Done
2326,Done
2327,Done
2329,Done
2330,Done
2331,Done
2332,Done
2334,Done
2335,Done
2337,Done
2338,Done
2340,Done
2341,Done
2342,Done
2344,Done
2345,Done
2349,Done
2351,Done
2353,Done
2354,Done
2359,Done
2370,Done
2371,Done
2372,Done
2373,Done
2374,Done
2375,Done
2376,Done
2378,Done
2379,Done
2384,Done
2385,Done
2388,Done
2389,Done
2391,Done
2393,Done
2395,Done
2397,Done
2402,Done
2404,Done
2408,Done
2410,Done
2411,Done
2412,Done
2413,Done
2415,Done
2418,Done
2424,Done
2425,Done
2427,Done
2428,Done
2429,Done
2432,Done
2433,Done
2435,Done
2436,Done
2437,Done
2438,Done
2440,Done
2445,Done
2449,Done
2453,Done
2454,Done
2459,Done
2461,Done
2462,Done
2464,Done
2468,Done
2469,Done
2471,Done
2475,Done
2477,Done
2479,Done
2480,Done
2481,Done
2483,Done
2484,Done
2485,Done
2487,Done
2488,Done
2489,Done
2491,Done
2492,Done
2493,Done
2497,Done
2498,Done
2499,Done
2501,Done
2502,Done
2503,Done
2531,Done
2533,Done
2540,Done
2573,Done
2579,Done
2585,Done
2586,Done
2587,Done
